decision_tree,random_forest,svm,mlp,xgboost,y_test,vote_majoritaire,nb_malicious,alert_level,alert_score
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
1,0,0,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,0,0,0,0,0,NORMAL,0
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,1,1,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,1,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,1,1,0,1,1,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,0,0,0,0,0,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,0,0,1,3,MEDIUM,5
0,0,0,0,0,0,0,0,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,0,1,1,0,0,1,3,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,0,1,4,HIGH,10
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,0,0,0,0,0,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,1,1,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,0,0,0,0,0,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,0,0,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,1,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,0,0,0,0,0,1,NORMAL,0
1,0,1,1,0,0,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,0,1,1,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
0,1,1,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,0,0,0,0,0,0,1,NORMAL,0
1,1,1,1,0,0,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,0,0,0,0,0,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,0,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,0,1,1,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,1,0,1,1,1,1,3,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
0,1,1,0,1,1,1,3,MEDIUM,5
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,0,1,0,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,1,0,0,0,2,MEDIUM,5
1,0,1,0,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,0,1,1,0,0,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,0,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,0,1,0,0,1,3,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,0,1,1,1,3,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,0,0,0,0,0,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
0,0,1,1,0,0,0,2,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,1,1,1,3,MEDIUM,5
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,1,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,0,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,1,0,1,3,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
0,1,1,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,0,1,1,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,0,0,0,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,0,1,1,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,1,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,1,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,0,0,1,0,0,0,2,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,1,0,0,1,3,MEDIUM,5
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,0,1,1,1,1,4,HIGH,10
0,1,1,0,1,1,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,1,0,0,0,2,MEDIUM,5
1,1,0,0,1,1,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,0,0,1,3,MEDIUM,5
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,1,0,0,0,0,2,MEDIUM,5
1,1,1,0,0,0,1,3,MEDIUM,5
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,1,1,1,1,5,HIGH,10
0,0,1,0,0,0,0,1,NORMAL,0
1,1,1,0,1,1,1,4,HIGH,10
1,0,0,0,0,0,0,1,NORMAL,0
1,1,1,1,1,1,1,5,HIGH,10
0,0,0,1,0,0,0,1,NORMAL,0
0,0,0,1,0,0,0,1,NORMAL,0
1,1,0,1,1,1,1,4,HIGH,10
1,1,1,0,1,1,1,4,HIGH,10
